Company,Location,Level Name,Role,Years of Experience,Years at Company,Total Compensation,Compensation Breakdown
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$360,993",361K | N/A | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$189,000",162K | N/A | 27K
Prodepa,"Belem, PA, Brazil",L1,Full Stack,2  yrs,1  yr,"R$16,800",16.8K | N/A | N/A
Avenue,"Sao Paulo, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$218,087",178.1K | N/A | 40K
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$250,690",250.7K | N/A | N/A
iFood,"Campinas, SP, Brazil",I14,Web Development (Front-End),7  yrs,2  yrs,"R$208,000",192K | N/A | 16K
Cognizant,"Sao Paulo, SP, Brazil",L1,RPA,3  yrs,1  yr,"R$78,000",78K | N/A | N/A
DASA,"Sao Paulo, SP, Brazil",-,-,10  yrs,3  yrs,"R$210,000",180K | N/A | 30K
Amazon,"Sao Paulo, SP, Brazil",SDE I,Distributed Systems (Back-End),5  yrs,2  yrs,"R$147,000",132K | 15K | N/A
Google,"Belo Horizonte, MG, Brazil",L4,Distributed Systems (Back-End),4  yrs,2  yrs,"R$449,000",246K | 160K | 43K
Jungle Scout,"Sao Paulo, SP, Brazil",Mid Level,Full Stack,7  yrs,2  yrs,"R$440,603",390K | N/A | 50.6K
C6 Bank,"Sao Paulo, SP, Brazil",L5,API Development (Back-End),10  yrs,1  yr,"R$279,000",204K | N/A | 75K
Mercado Libre,"Florianopolis, SC, Brazil",Semi Senior,API Development (Back-End),4  yrs,1  yr,"R$150,000",130K | N/A | 20K
Bradesco,"Recife, PE, Brazil",L1,Full Stack,2  yrs,0  yrs,"R$68,400",68.4K | N/A | N/A
Banco do Brasil,"Brasilia, DF, Brazil",I,API Development (Back-End),10  yrs,5  yrs,"R$271,200",235K | N/A | 36.2K
Anheuser-Busch InBev,"Campinas, SP, Brazil",Senior I,API Development (Back-End),4  yrs,1  yr,"R$177,428",121.4K | N/A | 56K
Procempa,"Porto Alegre, RS, Brazil",Senior Software Engineer,Full Stack,15  yrs,1  yr,"R$144,000",120K | N/A | 24K
Pinion,"Sao Paulo, SP, Brazil",L3,iOS,5  yrs,1  yr,"R$147,600",147.6K | N/A | N/A
App2Sales,"Salvador, BA, Brazil",Senior,Mobile (iOS + Android),6  yrs,4  yrs,"R$96,000",96K | N/A | N/A
Amazon,"Sao Paulo, SP, Brazil",SDE II,Data,15  yrs,2  yrs,"R$405,000",300K | 70K | 35K
Mercado Libre,"Sao Paulo, SP, Brazil",L4,Data,6  yrs,2  yrs,"R$172,000",160K | N/A | 12K
Encora,"Campinas, SP, Brazil",Senior,Distributed Systems (Back-End),5  yrs,1  yr,"R$166,096",154.2K | N/A | 11.9K
F1RST Digital Ser...,"Sao Paulo, SP, Brazil",L3,Data,4  yrs,2  yrs,"R$215,000",170K | N/A | 45K
Anonymous,"Aracaju, SE, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$181,000",174K | N/A | 7K
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$252,000",252K | N/A | N/A
Mercado Eletronico,"Sao Paulo, SP, Brazil",L3,API Development (Back-End),3  yrs,1  yr,"R$142,000",132K | N/A | 10K
LNUS,"Macapa, AP, Brazil",Senior,DevOps,15  yrs,8  yrs,"R$174,200",174.2K | N/A | N/A
Alterdata Software,"Rio de Janeiro, RJ, Brazil",L1,Full Stack,2  yrs,1  yr,"R$66,000",66K | N/A | N/A
Fortics,"Fortaleza, CE, Brazil",-,API Development (Back-End),6  yrs,1  yr,"R$204,000",204K | N/A | N/A
Loadsmart,"Sao Paulo, SP, Brazil",L1,Web Development (Front-End),11  yrs,2  yrs,"R$365,739",365.7K | N/A | N/A
GFT Group,"Sao Paulo, SP, Brazil",L4,API Development (Back-End),13  yrs,2  yrs,"R$108,000",108K | N/A | N/A
Memed,"Sao Paulo, SP, Brazil",L4,API Development (Back-End),10  yrs,2  yrs,"R$144,000",144K | N/A | N/A
SAP,"Sao Leopoldo, RS, Brazil",T2,Full Stack,5  yrs,2  yrs,"R$161,000",140K | N/A | 21K
Alice,"Sao Paulo, SP, Brazil",L4,Mobile (iOS + Android),10  yrs,4  yrs,"R$453,464",336K | 117.5K | N/A
Anonymous,"Rio de Janeiro, RJ, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$210,126",210.1K | N/A | N/A
Jusbrasil,"Sao Paulo, SP, Brazil",Senior Software Engineer,API Development (Back-End),8  yrs,0  yrs,"R$252,000",216K | N/A | 36K
ADP,"Porto Alegre, RS, Brazil",Software Engineer,Full Stack,6  yrs,6  yrs,"R$140,000",134K | N/A | 6K
Nubank,"Sao Paulo, SP, Brazil",IC6,Distributed Systems (Back-End),14  yrs,2  yrs,"R$478,101",420K | 58.1K | N/A
Turing,"Curitiba, PR, Brazil",Tech Lead,Software Architecture,8  yrs,1  yr,"R$426,836",426.8K | N/A | N/A
ADP,"Porto Alegre, RS, Brazil",Software Engineer,Full Stack,6  yrs,6  yrs,"R$140,987",134.3K | N/A | 6.7K
Nenhuma,"Uberlandia, MG, Brazil",L3,Full Stack,3  yrs,1  yr,"R$97,992",98K | N/A | N/A
Stellantis,"Belo Horizonte, MG, Brazil",L1,Embedded Systems,3  yrs,0  yrs,"R$108,000",90K | N/A | 18K
Qintess,"Porto Alegre, RS, Brazil",L1,Testing (SDET),2  yrs,0  yrs,"R$48,000",48K | N/A | N/A
Mip Engenharia,"Belo Horizonte, MG, Brazil",Pleno,Mobile (iOS + Android),3  yrs,1  yr,"R$79,200",79.2K | N/A | N/A
Anonymous,"Teresopolis, RJ, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$60,000",60K | N/A | N/A
Blackbook Editora,"Belo Horizonte, MG, Brazil",Mid Level Engineer,Web Development (Front-End),3  yrs,3  yrs,"R$69,000",69K | N/A | N/A
Turing,"Sao Paulo, SP, Brazil",L3,Distributed Systems (Back-End),10  yrs,1  yr,"R$546,479",546.5K | N/A | N/A
SAP,"Sao Leopoldo, RS, Brazil",T2,Full Stack,5  yrs,2  yrs,"R$160,000",139K | N/A | 21K
Loadsmart,"Florianopolis, SC, Brazil",L4,Full Stack,5-10  yrs,5-10  yrs,"R$681,507",540.6K | 140.9K | N/A
Anonymous,"Rio de Janeiro, RJ, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$60,000",60K | N/A | N/A
Universidade de F...,"Fortaleza, CE, Brazil",Senior,Full Stack,8  yrs,2  yrs,"R$113,016",113K | N/A | N/A
Olist,"Curitiba, PR, Brazil",Senior,ML / AI,5  yrs,0  yrs,"R$240,000",240K | N/A | N/A
Viasoft,"Curitiba, PR, Brazil",L1,Full Stack,2  yrs,2  yrs,"R$30,000",30K | N/A | N/A
Fusion Dms,"Recife, PE, Brazil",L1,Full Stack,15  yrs,6  yrs,"R$108,000",108K | N/A | N/A
Before IT,"Campo Grande, MS, Brazil",L1,API Development (Back-End),3  yrs,3  yrs,"R$67,600",51.6K | N/A | 16K
IBM,"Sao Paulo, SP, Brazil",Senior Engineer,API Development (Back-End),18  yrs,0  yrs,"R$200,000",200K | N/A | N/A
Mercado Libre,"Sao Paulo, SP, Brazil",Senior,Web Development (Front-End),11  yrs,3  yrs,"R$272,254",228.5K | N/A | 43.8K
Loft,"Sao Paulo, SP, Brazil",L4,API Development (Back-End),12  yrs,1  yr,"R$300,000",300K | N/A | N/A
Brilliant Machine,"Rio de Janeiro, RJ, Brazil",L3,Web Development (Front-End),1  yr,1  yr,"R$54,000",54K | N/A | N/A
Mercado Libre,"Sao Paulo, SP, Brazil",Senior,Full Stack,13  yrs,2  yrs,"R$226,135",210K | N/A | 16.1K
SAP,"Sao Leopoldo, RS, Brazil",T2,Full Stack,3  yrs,0  yrs,"R$141,600",141.6K | N/A | N/A
SAP,"Sao Leopoldo, RS, Brazil",T2,Full Stack,6  yrs,2  yrs,"R$202,800",148.8K | 30K | 24K
Anonymous,"Rio de Janeiro, RJ, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$100,000",100K | N/A | N/A
Mercado Libre,"Sao Paulo, SP, Brazil",Senior,Distributed Systems (Back-End),13  yrs,1  yr,"R$229,280",213.3K | N/A | 16K
Mercado Libre,"Sao Paulo, SP, Brazil",L2,-,14  yrs,2  yrs,"R$190,440",175.4K | N/A | 15K
Mercado Libre,"Sao Paulo, SP, Brazil",Developer,Web Development (Front-End),2  yrs,1  yr,"R$111,327",100.5K | N/A | 10.8K
Mercado Libre,"Sao Paulo, SP, Brazil",L3,Web Development (Front-End),11  yrs,4  yrs,"R$253,000",213K | N/A | 40K
Hypery,"Sao Paulo, SP, Brazil",Senior,Blockchain,9  yrs,2  yrs,"R$204,000",204K | N/A | N/A
Zig pay,"Sao Paulo, SP, Brazil",Senior,iOS,8  yrs,1  yr,"R$162,500",162.5K | N/A | N/A
Taller Technologies,"Sao Paulo, SP, Brazil",-,Distributed Systems (Back-End),20  yrs,3  yrs,"R$427,374",427.4K | N/A | N/A
BTG Pactual,"Belo Horizonte, MG, Brazil",Junior,API Development (Back-End),2  yrs,1  yr,"R$109,000",84K | N/A | 25K
Code Script,"Passo Fundo, RS, Brazil",L3,Mobile (iOS + Android),3  yrs,1  yr,"R$50,000",48K | N/A | 2K
Red Ventures,"Sao Paulo, SP, Brazil",Senior Software Engineer,API Development (Back-End),4  yrs,3  yrs,"R$195,000",180K | N/A | 15K
Bosch Global,"Sao Paulo, SP, Brazil",EG13,Full Stack,6  yrs,2  yrs,"R$90,000",84K | N/A | 6K
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,11+  yrs,11+  yrs,"R$523,944",523.9K | N/A | N/A
Anonymous,"Recife, PE, Brazil",-,N/A,3  yrs,3  yrs,"R$39,942",39.9K | N/A | N/A
Hospital Israelit...,"Goiania, GO, Brazil",L3,Web Development (Front-End),7  yrs,1  yr,"R$100,000",100K | N/A | N/A
Hinge Health,"Porto Alegre, RS, Brazil",Senior,Full Stack,5  yrs,1  yr,"R$305,000",305K | N/A | N/A
VIK,"Belo Horizonte, MG, Brazil",-,Web Development (Front-End),20  yrs,2  yrs,"R$18,000",18K | N/A | N/A
Santander Bank,"Sao Paulo, SP, Brazil",N8,Full Stack,5  yrs,1  yr,"R$150,000",124K | N/A | 26K
Hotmart,"Belo Horizonte, MG, Brazil",N/A,N/A,5-10  yrs,5-10  yrs,"R$182,000",156K | 26K | N/A
GFT Group,"Sao Paulo, SP, Brazil",N/A,N/A,2-4  yrs,2-4  yrs,"R$19,200",19.2K | N/A | N/A
PicPay,"Rio de Janeiro, RJ, Brazil",L2,API Development (Back-End),3  yrs,1  yr,"R$96,000",96K | N/A | N/A
ArcTouch,"Florianopolis, SC, Brazil",Mid Level,Full Stack,5  yrs,1  yr,"R$120,000",108K | N/A | 12K
IDwall,"Sao Paulo, SP, Brazil",L2,Data,7  yrs,1  yr,"R$120,000",120K | N/A | N/A
Uber,"Sao Paulo, SP, Brazil",Software Engineer II,Mobile (iOS + Android),7  yrs,1  yr,"R$327,865",288K | 39.9K | N/A
Anonymous,"Sao Paulo, SP, Brazil",-,N/A,12  yrs,9  yrs,"R$340,000",270K | N/A | 70K
Unico,"Sao Paulo, SP, Brazil",IC5,Distributed Systems (Back-End),8  yrs,2  yrs,"R$322,000",310K | 12K | N/A
Anonymous,"Sao Paulo, SP, Brazil",N/A,N/A,0-1  yrs,0-1  yrs,"R$123,600",114K | N/A | 9.6K
